,Brand Name,Model Name,Year,Type,Total Kilometers Driven,Fuel Type,Owner,Location,Transmission,Seating Capacity,Mileage,Price
0,Hyundai I10,Hyundai i10 Magna 1.2 2007,2007,Hatchback,70000,Petrol,First Owner,Delhi,Manual,5,20,102000
1,Hyundai I20,Hyundai I20 Sportz 1.4 CRDi 2016,2016,Hatchback,1200,Diesel,First Owner,Bangalore,Manual,5,18.6,704000
2,Maruti Suzuki Swift,Maruti Suzuki Swift VDi (O) 2016,2016,Hatchback,79000,Diesel,First Owner,Jodhpur,Manual,5,25.2,630000
3,Toyota Etios,Toyota Etios V 2011,2011,Sedan,55000,Petrol,First Owner,mumbai,Manual,5,17.57,310000
4,Honda Amaze,Honda Amaze 1.2 V i-VTEC 2019,2019,Sedan,56236,Petrol,First Owner,lucknow,Manual,5,19.5,615000
5,Tata Indica Vista,Tata Indica Vista LS Quadrajet 2014,2014,Hatchback,102000,Diesel,Second Owner,Coimbatore,Manual,5,22.3,350000
6,Mahindra XUV500,Mahindra XUV500 W6 2014,2014,SUV,29000,Diesel,First Owner,Jaipur,Manual,5,14,677000
7,Hyundai I20,Hyundai i20 Sportz 1.4 CRDi 2014,2014,Hatchback,80000,Diesel,Second Owner,jaipur,Manual,5,18.6,340000
8,Maruti Suzuki Swift,Maruti Suzuki Swift VXi 2012,2012,Hatchback,68000,Petrol,Second Owner,bangalore,Manual,5,20.4,550000
9,Kia Seltos,Kia Seltos HTK Plus 1.5 Petrol 2020,2020,SUV,12000,Petrol,First Owner,Delhi,Manual,5,-,1312000
10,Honda CR-V,Honda CR-V 2.4 MT 2008,2008,SUV,55000,Petrol,Second Owner,delhi,Manual,5,-,355000
11,Ford Figo,Ford Figo DURATEC TITANIUM 1.2 2014,2014,Hatchback,55000,Petrol,First Owner,delhi,Manual,5,18.16,195000
12,Maruti Suzuki Swift Dzire,Maruti Suzuki Swift DZire VDi 2008,2008,Sedan,82000,Diesel,Second Owner,pune,Manual,5,26.59,272950
13,Maruti Suzuki Swift,Maruti Suzuki Swift LXi 2018,2018,Hatchback,17000,Petrol,First Owner,coimbatore,Manual,5,22,576800
14,Hyundai EON,Hyundai Eon Magna 2011,2011,Hatchback,38000,Petrol,Second Owner,bangalore,Manual,5,21.1,285000
15,Volkswagen Vento,Volkswagen Vento Comfortline Diesel 2012,2012,Sedan,65000,Diesel,First Owner,jamshedpur,Manual,5,20.5,362000
16,Maruti Suzuki Wagon R,Maruti Suzuki Wagon R LXi CNG (O) 2017,2017,Hatchback,50000,Petrol + CNG,First Owner,kanpur,Manual,5,-,395000
17,Maruti Suzuki Wagon R,Maruti Suzuki Wagon R LXi 2014,2014,Hatchback,58000,Petrol,First Owner,ghaziabad,Manual,5,20.5,283000
18,Maruti Suzuki Vitara Brezza,Maruti Suzuki Vitara Brezza ZDi 2019,2019,SUV,12180,Diesel,First Owner,hyderabad,Manual,5,-,955000
19,Skoda SUPERB,Skoda Superb ELEGANCE 2.0 TDI CR AT 2009,2009,Sedan,74000,Diesel,Second Owner,bangalore,Automatic,5,17.2,650000
20,Maruti Suzuki Wagon R,Maruti Suzuki Wagon R LXi 2007,2007,Hatchback,77000,Petrol,First Owner,Nagpur,Manual,5,20.5,140000
21,Skoda Rapid,Skoda Rapid 1.6 MPI Elegance 2013,2013,Sedan,1100,Petrol,First Owner,Bangalore,Manual,5,15,476000
22,Volkswagen Polo,Volkswagen Polo Comfortline 1.2L (P) 2011,2011,Hatchback,99000,Petrol,Second Owner,bangalore,Manual,5,16.47,475000
23,Hyundai I10,Hyundai i10 Magna 1.2 Kappa2 2009,2009,Hatchback,62000,Petrol,First Owner,jamshedpur,Manual,5,20,169000
24,Hyundai I10,Hyundai i10 Era 2010,2010,Hatchback,45000,Petrol,First Owner,bhopal,Manual,5,20,283250
25,Mahindra Scorpio,Mahindra Scorpio S10 2015,2015,SUV,65000,Diesel,First Owner,kolkata,Manual,5,-,1030000
26,Chevrolet Beat,Chevrolet Beat LS Petrol 2010,2010,Hatchback,37256,Petrol,First Owner,Kolkata,Manual,5,18.6,180000
27,Honda City Zx,Honda City ZX GXi 2008,2008,Sedan,47200,Petrol,First Owner,kolkata,Manual,5,12.8,145000
28,Renault Duster,Renault Duster 110 PS RXZ 2013,2013,SUV,64000,Diesel,Second Owner,chandigarh,Manual,5,19.6,410000
29,Hyundai I10,Hyundai i10 1.1L iRDE Era Special Edition 2010,2010,Hatchback,90000,Petrol,Second Owner,Haldwani,Manual,5,19.81,156800
30,Maruti Suzuki Baleno,Maruti Suzuki Baleno Alpha 1.2 2019,2019,Hatchback,18465,Petrol,First Owner,bangalore,Manual,5,21.4,841157
